kind	body	path	url
license	Titania	images/Titania/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Titania/LICENSE-diffuse
license	Titania	images/Titania/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Titania/LICENSE-normal
diffuse-map	Titania	images/Titania/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Titania/diffuse.jpg
normal-map	Titania	images/Titania/normal.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Titania/normal.png
license	Triton	images/Triton/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Triton/LICENSE-diffuse
license	Triton	images/Triton/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Triton/LICENSE-normal
diffuse-map	Triton	images/Triton/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Triton/diffuse.jpg
normal-map	Triton	images/Triton/normal.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Triton/normal.png
license	Umbriel	images/Umbriel/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Umbriel/LICENSE-diffuse
license	Umbriel	images/Umbriel/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Umbriel/LICENSE-normal
diffuse-map	Umbriel	images/Umbriel/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Umbriel/diffuse.jpg
normal-map	Umbriel	images/Umbriel/normal.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Umbriel/normal.png
license	Uranus	images/Uranus/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Uranus/LICENSE-diffuse
license	Uranus	images/Uranus/LICENSE-rings	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Uranus/LICENSE-rings
diffuse-map	Uranus	images/Uranus/diffuse.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Uranus/diffuse.png
ring-texture	Uranus	images/Uranus/rings.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Uranus/rings.png
license	Venus	images/Venus/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Venus/LICENSE-diffuse
diffuse-map	Venus	images/Venus/diffuse.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Venus/diffuse.png
license	Vesta	images/Vesta/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Vesta/LICENSE-diffuse
license	Vesta	images/Vesta/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Vesta/LICENSE-normal
diffuse-map	Vesta	images/Vesta/diffuse.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Vesta/diffuse.png
normal-map	Vesta	images/Vesta/normal.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Vesta/normal.png
toml		manifest.toml	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/manifest.toml
model-source	Cassini	models/Cassini/Cassini_66.blend	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/models/Cassini/Cassini_66.blend
license	Cassini	models/Cassini/LICENSE	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/models/Cassini/LICENSE
texture	Cassini	models/Cassini/texture/dish_AO.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/models/Cassini/texture/dish_AO.png
texture	Cassini	models/Cassini/texture/foil_gold_ramp.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/models/Cassini/texture/foil_gold_ramp.png
texture	Cassini	models/Cassini/texture/foil_n.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/models/Cassini/texture/foil_n.png
texture	Cassini	models/Cassini/texture/foil_n_2.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/models/Cassini/texture/foil_n_2.png
texture	Cassini	models/Cassini/texture/tex_01_.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/models/Cassini/texture/tex_01_.png
model	Churyumov-Gerasimenko	models/Churyumov-Gerasimenko.ply	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/models/Churyumov-Gerasimenko.ply
model	Dawn	models/Dawn/Dawn.mtl	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/models/Dawn/Dawn.mtl
model	Dawn	models/Dawn/Dawn.obj	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/models/Dawn/Dawn.obj
license	Dawn	models/Dawn/LICENSE	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/models/Dawn/LICENSE
