# Yale Bright Star Catalog v5 / BSC5, J2000.0 equatorial coordinates.
# Runtime subset keeps stars with visual magnitude V <= 6.70.
# Source conversion: https://github.com/brettonw/YaleBrightStarCatalog
# Original catalog: http://tdc-www.harvard.edu/catalogs/bsc5.html
# Columns: ra_deg,dec_deg,visual_magnitude,color_temperature_k
ra_deg,dec_deg,visual_magnitude,color_temperature_k
290.374583,-34.983889,6.48,5500
294.572917,20.782778,6.48,5000
295.517083,55.463333,6.48,2750
296.467500,-2.883333,6.48,24000
298.276667,-14.603056,6.48,10000
299.250833,20.998056,6.48,9500
302.485833,20.915278,6.48,6750
304.117500,37.056389,6.48,18000
308.541667,20.985278,6.48,24000
309.750833,56.005000,6.48,7200
315.702083,45.848889,6.48,24000
317.922083,-14.472222,6.48,7500
319.165000,-1.607778,6.48,5000
327.417083,41.148889,6.48,9500
341.617917,-49.685833,6.48,4850
344.100000,-31.565556,6.48,4400
349.483750,45.488889,6.48,12000
4.177083,-20.210556,6.47,14000
9.280000,24.014167,6.47,4700
11.423750,-16.424167,6.47,7350
15.576667,51.035000,6.47,9250
35.018333,30.188333,6.47,5000
41.796667,-22.485556,6.47,7200
69.623333,26.940000,6.47,7200
89.270417,49.029444,6.47,5200
97.235833,26.967778,6.47,6750
106.558750,-68.837222,6.47,5000
111.857500,66.331667,6.47,12000
101.744583,-87.025000,6.47,7050
116.030833,2.405000,6.47,7500
123.546250,17.675833,6.47,10000
128.802500,-39.970000,6.47,5900
129.687083,-53.090556,6.47,14000
132.437083,-21.048611,6.47,8250
133.461250,-40.447500,6.47,5000
145.779167,54.363611,6.47,8750
202.109167,40.729722,6.47,5200
202.888750,-28.112778,6.47,9750
206.066250,-51.013056,6.47,10000
212.252500,-10.334444,6.47,5200
214.228750,-77.663889,6.47,4700
214.502500,-7.542500,6.47,5500
224.807917,-37.881389,6.47,14000
228.322917,-24.008333,6.47,12000
242.480000,-18.340833,6.47,6900
245.986250,-33.199444,6.47,10000
252.649583,-50.045556,6.47,8750
260.658333,-35.910000,6.47,6450
267.328750,1.961111,6.47,5000
273.567500,-63.689444,6.47,4400
279.519167,-14.004722,6.47,12000
280.533750,34.746667,6.47,20000
282.188750,-18.601389,6.47,5500
294.486250,49.284444,6.47,5400
301.550833,-4.078333,6.47,5000
310.850833,35.587778,6.47,6450
320.951250,37.351389,6.47,4250
323.335833,-80.039167,6.47,10000
323.641667,22.754722,6.47,6450
327.034583,36.580556,6.47,4250
331.099583,-29.916667,6.47,4250
335.250417,26.935278,6.47,2900
339.686250,-28.747778,6.47,4850
345.641667,-36.420833,6.47,4850
347.548750,-66.857500,6.47,5000
349.207500,-41.194444,6.47,5000
359.389583,60.023611,6.47,12000
4.674167,-8.052778,6.46,6000
13.301667,-24.776944,6.46,6600
23.460000,89.015556,6.46,9250
19.695833,37.386111,6.46,8750
21.860833,41.100556,6.46,8250
34.741667,23.167778,6.46,9750
41.079583,17.763889,6.46,4700
53.753333,60.041111,6.46,7050
57.331667,57.118056,6.46,10000
58.641667,-52.690556,6.46,9000
