path	bytes	sha256	url
models/shapes/mimas/mimas_ver512q.tab.obj	125463806	54914755c12e6ec69c6cea396af3e2e14336933ed4ec39d02dff0c519501fcea	https://sbn.psi.edu/pds/shape-models/files/mimas/mimas_ver512q.tab.obj
models/shapes/phobos/phobos_ver512q.tab.obj	118894862	fef85a97e598012204f8e66b47f9359ccd8a6dda6914e2670e03dc01b7f0cdfa	https://sbn.psi.edu/pds/shape-models/files/phobos/phobos_ver512q.tab.obj
models/shapes/phoebe/phoebe_ver512q.tab.obj	123186882	bc6d73a1ca5d53352eb26221070d6cb28c1e3b22ad497c07fa460e0df6b93412	https://sbn.psi.edu/pds/shape-models/files/phoebe/phoebe_ver512q.tab.obj
models/shapes/steins/steins.obj	1627784	6cfb5122937621b803d710ddbca05bbc12dc038a37b72776a46cbe102ca34b5e	https://sbn.psi.edu/pds/shape-models/files/steins/steins.obj
models/shapes/tempel1/tempel1_2012_cart.obj	2625388	ee4e67c70467e90221d33014772334fa3eb1c1050ebaccd6184a8df218a10132	https://sbn.psi.edu/pds/shape-models/files/tempel1/tempel1_2012_cart.obj
models/shapes/tethys/tethys_ver512q.tab.obj	127096359	9bd687c5d480068d73bf712cb7a8399f3a4c993054d9cf8dc799d57969f3ef26	https://sbn.psi.edu/pds/shape-models/files/tethys/tethys_ver512q.tab.obj
models/shapes/vesta/Vesta-256V.obj	7085311	4b7cbdc7c7291fffcd1f3373914a6f0ad9234abf3a7260bdd9a3b5655e0d0774	https://sbn.psi.edu/pds/shape-models/files/vesta/Vesta-256V.obj
models/shapes/wild2/wild2_cart_full.tab.obj	568582	1721238356759592371d3c6d0b32afd7c55dea99234f23ca1a8b3f9498ae7e0e	https://sbn.psi.edu/pds/shape-models/files/wild2/wild2_cart_full.tab.obj
models/small_bodies/Churyumov-Gerasimenko.ply	4864228	d6106e1be782fcf3eaa0f505820cdcf55672a43b4ed7d453cf59c7a92cc0018f	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/models/Churyumov-Gerasimenko.ply
models/small_bodies/Deimos.ply	95984	3b7f890643b9cf317fa49cd6ea17a64e0e016b8e9244af2b718524252879b9f7	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/models/Deimos.ply
models/small_bodies/Dione.ply	3735779	ff250a286792d8202b19f9e836ed4c32a1e929a418b1dda09742867539698504	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/models/Dione.ply
models/small_bodies/Hyperion.ply	556318	976eb25fb07a1ef48d52b3f46ed3d47a858653ce3fcce230b9f03d046cf3f536	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/models/Hyperion.ply
models/small_bodies/Iapetus.ply	53720610	fde1efc0e41241ee88456734e92499f5fe7df02d7b0fac84ecfefd4defe8c8e8	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/models/Iapetus.ply
models/small_bodies/Juno.ply	34423	b78962a9af5e4111c09c79a9c60d763c5775226e277f6c4ed3ec7130d5e3cd90	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/models/Juno.ply
models/small_bodies/LICENSE	123	67b9e05cc2f2af9757bbe4a9165494390920f36e2db4433b4f7b6d16eb0e4ab3	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/models/LICENSE
models/small_bodies/Mimas.ply	3735779	47a5a6298524a4dbc0cd852965d05c85c6a2fd8bb6258621a2a6204c80ca03a3	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/models/Mimas.ply
