hostname,pl_name,sy_dist,ra,dec,st_mass,st_rad,st_teff,pl_orbsmax,pl_orbper,pl_orbeccen,pl_orbincl,pl_orblper,pl_bmasse,pl_rade
"HIP 14810","HIP 14810 b",50.48000000,47.8092750,21.0971302,1.010000,1.070000,5544.00,0.0696000000,6.67389200000,0.143990,,158.8300,1239.53700000,13.00000000
"HIP 14810","HIP 14810 d",50.48000000,47.8092750,21.0971302,1.010000,1.070000,5544.00,1.9400000000,981.80000000000,0.185000,,247.0000,187.51970000,14.10000000
"HD 207832","HD 207832 b",58.92910000,328.1517893,-26.0271749,1.050000,0.890000,5726.00,0.5860000000,160.07000000000,0.197000,,1.0000,177.98480000,14.20000000
"HD 37605","HD 37605 c",46.78640000,85.0074276,6.0595116,0.940000,0.910000,5329.00,3.7400000000,2720.00000000000,0.030000,,227.0000,1013.87770000,13.10000000
"HD 1605","HD 1605 c",88.80470000,5.1317548,30.9750611,1.330000,3.490000,4915.00,3.5840000000,2149.00000000000,0.099000,,233.0000,1150.54460000,13.00000000
"HD 55696","HD 55696 b",77.96930000,108.0622029,-38.1746390,1.290000,1.520000,6012.00,3.1800000000,1827.00000000000,0.705000,57.00000,137.0000,1357.12729789,12.90000000
"HD 148164","HD 148164 c",77.19710000,246.4351678,11.9190729,1.210000,1.340000,6032.00,6.1500000000,5062.00000000000,0.125000,,152.0000,1640.00280000,12.80000000
"HD 211810","HD 211810 b",64.63530000,334.5286724,61.1349912,1.030000,1.130000,5652.00,2.6560000000,1558.00000000000,0.680000,,98.0000,212.94610000,14.00000000
"HD 221416","HD 221416 b",95.54830000,353.0331863,-21.8012007,1.212000,2.943000,5080.00,0.1228000000,14.27670000000,0.115000,85.75000,-106.0000,60.50000000,9.17000000
"Kepler-595","Kepler-595 c",643.00900000,294.5703593,50.6730147,0.930000,0.821000,5138.50,0.0983000000,12.38602000000,0.000000,89.01000,,3.30000000,1.00900000
"Kepler-595","Kepler-595 b",643.00900000,294.5703593,50.6730147,0.930000,0.821000,5138.50,0.1582000000,25.30290920000,0.000000,89.95000,,17.40000000,3.70800000
"PSR B1257+12","PSR B1257+12 b",600.00000000,195.0149029,12.6823534,1.400000,,,0.1900000000,25.26200000000,0.000000,50.00000,0.0000,0.02000000,0.33800000
"PSR B1257+12","PSR B1257+12 c",600.00000000,195.0149029,12.6823534,1.400000,,,0.3600000000,66.54190000000,0.018600,53.00000,250.4000,4.30000000,1.91000000
"OGLE-TR-211","OGLE-TR-211 b",1515.26000000,160.0598236,-62.4555353,1.330000,1.640000,6325.00,0.0510000000,3.67724000000,0.000000,87.20000,,327.35100000,15.24400000
"Lupus-TR-3","Lupus-TR-3 b",773.40900000,232.5774696,-42.9799461,0.870000,0.820000,5000.00,0.0464000000,3.91405000000,0.000000,88.30000,,257.43100000,9.97600000
"2MASS J04414489+2301513","2MASS J04414489+2301513 b",120.42398696,70.4371079,23.0308544,0.019000,0.231916,2936.00,15.0000000000,,,,,2383.60000000,12.60000000
"WASP-21","WASP-21 b",258.42600000,347.4928024,18.3961597,1.010000,1.060000,5800.00,0.0520000000,4.32248200000,0.000000,88.75000,,95.34500000,11.99000000
"CoRoT-10","CoRoT-10 b",338.38600000,291.0636813,0.7460143,0.890000,0.790000,5075.00,0.1055000000,13.24060000000,0.530000,88.55000,218.9000,874.00000000,10.87000000
"CoRoT-12","CoRoT-12 b",1126.37000000,100.7656871,-1.2964437,1.078000,1.116000,5675.00,0.0401600000,2.82804200000,0.070000,85.48000,105.0000,291.43800000,16.14000000
"CoRoT-13","CoRoT-13 b",1148.93000000,102.7211432,-5.0864557,1.090000,1.010000,5945.00,0.0510000000,4.03519000000,0.000000,88.02000,,415.70400000,9.92000000
"HD 285968","HD 285968 b",9.47045000,70.7353853,18.9533580,0.500000,0.478214,3703.49,0.0660000000,8.78360000000,0.000000,,0.0000,8.40000000,2.83000000
"HD 205739","HD 205739 b",92.50870000,324.5351273,-31.7378373,1.220000,1.330000,6176.00,0.8960000000,279.80000000000,0.270000,,301.0000,435.41000000,13.60000000
"CoRoT-3","CoRoT-3 b",768.77100000,292.0552827,0.1218359,1.370000,1.560000,6740.00,0.0578300000,4.25680000000,0.000000,85.90000,,6883.91000000,11.32000000
"HD 16417","HD 16417 b",25.39360000,39.2441029,-34.5790905,1.200000,1.639984,5841.00,0.1400000000,17.24000000000,0.200000,,77.0000,22.10000000,5.00000000
"AB Pic","AB Pic b",50.04750000,94.8039208,-58.0541184,0.900000,0.999394,5285.00,260.0000000000,,,,,4290.50000000,12.30000000
"CT Cha","CT Cha b",190.72000000,166.0375038,-76.4553693,,1.679694,4403.00,440.0000000000,,,,,5403.00000000,24.66000000
"HD 9446","HD 9446 b",50.35030000,23.3350424,29.2649187,1.000000,1.000000,5793.00,0.1890000000,30.05200000000,0.200000,,215.0000,222.47200000,14.00000000
"Kepler-4","Kepler-4 b",487.91600000,285.6154492,50.1357712,1.223000,1.487000,5857.00,0.0456000000,3.21346000000,0.000000,89.76000,,24.47200000,4.00200000
"GJ 876","GJ 876 c",4.67517000,343.3239737,-14.2665958,0.320000,0.300000,3293.74,0.1295900000,30.08810000000,0.255910,59.00000,48.7600,226.98460000,14.00000000
"HIP 79431","HIP 79431 b",14.53240000,243.1742467,-18.8764247,0.490000,0.478625,3191.00,0.3600000000,111.70000000000,0.290000,,287.4000,667.41500000,13.40000000
"TOI-907","TOI-907.01",312.52900000,262.1834072,-62.8403830,1.069357,2.059789,6272.00,0.0552254810,4.58491290000,,,,67.00000000,9.61588510
"WASP-31","WASP-31 b",383.82900000,169.4388603,-19.0547781,1.163000,1.252000,6302.00,0.0465900000,3.40590960000,0.000000,84.41000,,151.91600000,17.36300000
"24 Sex","24 Sex b",72.06910000,155.8684866,-0.9023998,1.540000,4.900000,5098.00,1.3330000000,452.80000000000,0.090000,,9.2000,632.46000000,13.40000000
"WASP-37","WASP-37 b",392.79100000,221.9438866,1.0650227,0.925000,1.003000,5800.00,0.0446000000,3.57746900000,0.000000,88.82000,,572.07000000,13.00200000
"Kepler-9","Kepler-9 d",628.25700000,285.5739904,38.4008192,1.070000,1.020000,5777.00,0.0273000000,1.59285100000,0.000000,89.38000,,8.41466053,1.64000000
"KOI-217","KOI-217 b",914.69900000,294.8654667,46.2858128,0.950000,0.860000,5545.00,0.0477000000,3.90512000000,0.000000,89.80000,,,12.44200000
"HD 90156","HD 90156 b",21.94960000,155.9801144,-29.6451030,0.840000,0.920286,5599.00,0.2500000000,49.77000000000,0.310000,,113.0000,17.98000000,4.43000000
"HD 177830","HD 177830 c",62.76740000,286.3363574,25.9204327,1.470000,2.620000,4949.00,0.5137000000,110.90000000000,0.300000,,110.0000,47.67250000,7.87000000
"ups And","ups And b",13.40540000,24.1983534,41.4038147,1.300000,1.560000,6156.77,0.0592216600,4.61703300000,0.021500,,324.9000,218.53100000,14.00000000
"ups And","ups And d",13.40540000,24.1983534,41.4038147,1.300000,1.560000,6156.77,2.5132900000,1276.46000000000,0.298700,,258.8200,3257.74117175,12.50000000
"OGLE-2017-BLG-0373L","OGLE-2017-BLG-0373L b",5915.00000000,269.3294067,-31.9517231,0.248000,,,2.4240000000,,,,,127.00000000,14.00000000
"K2-269","K2-269 b",360.76000000,130.1551381,13.0146799,1.160000,1.450000,6209.00,0.0531000000,4.14496500000,,86.72002,,3.09000000,1.57000000
"TOI-1249","TOI-1249 b",139.49000000,200.5615762,66.3085331,1.006200,0.978500,5497.00,0.1090000000,13.07915100000,0.000000,,90.0000,11.90000000,3.27103010
"Kepler-106","Kepler-106 d",444.32200000,300.8640060,44.3375497,1.000000,1.040000,5858.00,0.1606300000,23.98020000000,0.000000,85.45000,,8.10000000,0.95000000
"Kepler-1031","Kepler-1031 b",682.88200000,296.0898796,48.9554121,1.090000,1.120000,6011.00,0.0218000000,1.22621732000,0.000000,89.93000,,0.59000000,0.87000000
"Kepler-948","Kepler-948 b",868.01700000,293.3002774,41.5233244,0.960000,0.940000,5679.00,0.0749000000,7.76846622000,0.000000,88.68000,,4.08000000,1.85000000
"OGLE-2014-BLG-0319L","OGLE-2014-BLG-0319L b",7730.00000000,266.9611667,-33.9350444,0.520000,,,3.4900000000,,,,,181.16219199,14.10000000
"OGLE-2018-BLG-1011L","OGLE-2018-BLG-1011L b",7100.00000000,269.0140000,-29.0828889,0.180000,,,1.8000000000,,,,,570.00000000,13.50000000
"WASP-61","WASP-61 b",488.66000000,75.2996637,-26.0541438,1.820000,1.550000,6250.00,0.0521000000,3.85590000000,0.000000,89.35000,,851.78440000,15.80469000
"KMT-2022-BLG-0303L","KMT-2022-BLG-0303L b",6570.00000000,268.0331250,-22.6890806,0.368000,,,4.8100000000,,,,,163.04597279,14.20000000
"OGLE-2019-BLG-0954L","OGLE-2019-BLG-0954L b",3630.00000000,267.9132500,-29.6110000,0.800000,,,2.6500000000,,,,,4513.16337940,12.30000000
"WASP-123","WASP-123 b",197.99600000,289.4792124,-32.8601244,1.166000,1.285000,5740.00,0.0426300000,2.97764359000,0.000000,86.20000,,285.72917000,15.13212395
"Kepler-1882","Kepler-1882 b",443.37100000,290.6640856,43.4997866,1.068000,1.458000,5691.00,0.1163600000,13.78730011000,0.000000,83.09000,,2.81000000,1.48674404
"KOI-984","KOI-984 b",252.66700000,291.0489438,36.8400772,0.928000,0.818000,5295.00,0.0504000000,4.28817850000,0.120000,88.93000,-75.0000,17.10000000,4.30000000
"Kepler-1573","Kepler-1573 b",1455.36000000,292.9883129,49.4849664,1.010000,1.000000,5808.00,0.0364000000,2.61575540000,0.000000,87.98000,,1.87000000,1.20000000
"Kepler-802","Kepler-802 b",780.58500000,286.0157998,45.0077413,0.930000,0.900000,5507.00,0.2265000000,40.05874730000,0.000000,88.65000,,12.30000000,3.54000000
"KMT-2023-BLG-1454L","KMT-2023-BLG-1454L b",7220.00000000,267.6200833,-29.6227500,0.170000,,,1.1800000000,,,,,200.23189641,14.10000000
"Kepler-1440","Kepler-1440 b",1115.35000000,285.3469737,48.3122283,0.980000,0.960000,5698.00,0.2343100000,39.85948400000,0.000000,89.36000,,2.13000000,1.26000000
"WASP-130","WASP-130 b",172.25600000,203.1060194,-42.4752733,1.040000,0.960000,5625.00,0.1012000000,11.55098000000,0.000000,88.66000,90.0000,390.93090000,9.97601000
"OGLE-2017-BLG-1049L","OGLE-2017-BLG-1049L b",5670.00000000,269.5335420,-27.1442222,0.550000,,,3.9200000000,,,,,1760.00000000,12.80000000
"Kepler-949","Kepler-949 b",486.10500000,298.6079128,46.4536600,0.890000,0.860000,5403.00,0.0773900000,8.68930729600,0.000000,89.94000,,8.80000000,2.91000000
"KMT-2023-BLG-1592L","KMT-2023-BLG-1592L b",7200.00000000,268.6786667,-29.0084194,0.550000,,,3.9000000000,,,,,184.34047606,14.10000000
